date,close,volume
2023.03.08,60300.0,13905337.0
2023.03.07,60700.0,11473280.0
2023.03.06,61500.0,13630602.0
2023.03.03,60500.0,10711405.0
2023.03.02,60800.0,13095682.0
2023.02.28,60600.0,13715861.0
2023.02.27,60500.0,11155697.0
2023.02.24,61300.0,10308143.0
2023.02.23,62000.0,13047099.0
2023.02.22,61100.0,11959088.0
2023.02.21,62100.0,7665046.0
2023.02.20,62700.0,12908073.0
2023.02.17,62600.0,10791265.0
2023.02.16,63700.0,13798831.0
2023.02.15,62200.0,13208103.0
2023.02.14,63200.0,9126664.0
2023.02.13,62900.0,10730362.0
2023.02.10,62800.0,9382576.0
2023.02.09,63000.0,12164865.0
2023.02.08,63100.0,12243125.0
2023.02.07,61900.0,14491039.0
2023.02.06,61600.0,15529356.0
2023.02.03,63800.0,15194598.0
2023.02.02,63500.0,23285983.0
2023.02.01,61800.0,18570133.0
2023.01.31,61000.0,29746731.0
2023.01.30,63300.0,20995234.0
2023.01.27,64600.0,18760182.0
2023.01.26,63900.0,13278277.0
2023.01.25,63400.0,16822710.0
2023.01.20,61800.0,9646327.0
2023.01.19,61500.0,12808490.0
2023.01.18,60400.0,11584041.0
2023.01.17,61000.0,9831456.0
2023.01.16,61100.0,10039972.0
2023.01.13,60800.0,12510328.0
2023.01.12,60500.0,16102561.0
2023.01.11,60500.0,12310751.0
2023.01.10,60400.0,14859797.0
2023.01.09,60700.0,18640107.0
2023.01.06,59000.0,17334989.0
2023.01.05,58200.0,15682826.0
2023.01.04,57800.0,20188071.0
2023.01.03,55400.0,13547030.0
2023.01.02,55500.0,10031448.0
